CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60015400,Fortaleza/CE,Benfica,Vila Confúcio Pamplona,
60015410,Fortaleza/CE,Benfica,Vila Oito de Maio,
60015420,Fortaleza/CE,Benfica,Vila São Vicente,
60015430,Fortaleza/CE,Benfica,Vila Antônio Miranda,
60015440,Fortaleza/CE,Centro,Travessa Mangaratiba,
60015450,Fortaleza/CE,Centro,Travessa Rosita,
60015480,Fortaleza/CE,Centro,Vila Elisa Diogo,
60015490,Fortaleza/CE,Benfica,Vila Célia Maria,
60015510,Fortaleza/CE,Benfica,Vila Manuel Pedro,
60020000,Fortaleza/CE,Centro,Rua Vinte e Quatro de Maio - até 1388/1389,
60020001,Fortaleza/CE,Benfica,Rua Vinte e Quatro de Maio - de 1390/1391 ao fim,
60020010,Fortaleza/CE,Benfica,Vila Elizabet,
60020020,Fortaleza/CE,Benfica,Vila Santo Antônio,
60020030,Fortaleza/CE,Centro,Rua General Sampaio - até 1788/1789,
60020031,Fortaleza/CE,Benfica,Rua General Sampaio - de 1790/1791 ao fim,
60020040,Fortaleza/CE,Centro,Galeria Pedro Jorge,
60020050,Fortaleza/CE,Centro,Rua Barão de Camocim,
60020060,Fortaleza/CE,Benfica,Rua Marechal Deodoro - até 863/864,
60020061,Fortaleza/CE,Benfica,Rua Marechal Deodoro - de 865/866 ao fim,
60020070,Fortaleza/CE,Benfica,Rua Major Laurindo - até 239/240,
60020080,Fortaleza/CE,Benfica,Rua Júlio César - até 349/350,
60020090,Fortaleza/CE,Benfica,Rua Santo Antônio,
60020100,Fortaleza/CE,Benfica,Rua João Gentil,
60020110,Fortaleza/CE,Benfica,Rua Waldery Uchôa - até 727/728,
60020120,Fortaleza/CE,Benfica,Rua Nossa Senhora dos Remédios,
60020130,Fortaleza/CE,Benfica,Vila Gentilândia,
60020140,Fortaleza/CE,Benfica,Vila Santa Cecília,
60020150,Fortaleza/CE,Benfica,Rua Carlos Câmara - até 1199/1200,
60020160,Fortaleza/CE,Benfica,Rua Redenção,
60020170,Fortaleza/CE,Benfica,Rua Martinópole,
60020180,Fortaleza/CE,Benfica,Avenida da Universidade - até 2799/2800,
60020181,Fortaleza/CE,Benfica,Avenida da Universidade - de 2801/2802 ao fim,
